x1,x2,x3,x4,x5,x6,y
-8.70497,-135.85178,1418472023,99.80975666,710.8870079,197.0682331,606.1242461
-68.70912,-80.98642,1373088298,99.19655645,685.819878,210.4798289,593.7157816
36.81266,-149.82867,1325626127,96.65744461,727.6523832,203.6269548,604.1195716
31.16804,-69.51531,1408850153,99.97527989,707.618625,189.4464595,597.8106418
-38.84123,66.389,1262663580,99.99956532,693.1490164,204.4124743,607.398807
78.25787,-105.23263,1382077039,97.50608374,683.9899765,203.1051509,603.8876654
52.91111,6.94627,1439655514,101.5846442,704.3759837,193.9979172,592.7485206
70.93566,14.80467,1268596019,98.53361162,701.0637033,204.8674202,598.8726398
54.17188,-152.63625,1409893771,98.62481309,701.6700587,188.0829142,603.6671432
-26.38589,-9.45702,1471862175,100.8061513,703.8077871,191.4001479,609.6155683
-57.26326,-169.05442,1273338099,99.06092844,715.6141474,195.485899,604.0118661
41.98211,-29.60392,1475119220,99.27699712,704.7889491,198.2013084,598.7680521
-32.50649,64.8635,1420342132,100.1836362,690.2254923,200.6283149,595.6111977
16.83491,-125.3733,1312563020,100.5941056,696.9713407,201.1634042,608.9176464
44.12185,6.30313,1351474671,100.2643765,711.9336812,195.2656124,592.7600612
4.41993,96.43555,1271524274,98.24028255,717.4939111,197.375552,589.7272743
81.57239,-170.2547,1334498181,98.3343708,695.4206061,197.038222,597.577567
-34.03292,-142.42698,1341782040,97.78631755,685.3412348,199.1844708,596.9313178
-81.758,40.90195,1357461899,99.45018067,721.6343737,202.8528557,598.993755
-64.99569,-85.15889,1317419508,100.6273121,698.9670951,201.8231426,595.4334554
47.20412,-90.11643,1382045935,101.7141393,728.4267718,204.5544212,606.4455669
75.11265,-116.10939,1426839317,99.31252789,695.6228347,205.2139957,601.4707551
-65.55105,-124.84207,1461142576,100.7457331,704.342178,192.8730786,599.4098688
-74.30307,173.01112,1469365887,99.31901838,705.9003863,195.989137,596.4101598
-13.75906,-44.92216,1432376563,99.11692572,698.655019,191.5962917,597.97882
79.95949,71.17877,1294599173,97.79884748,695.2500435,190.42055,595.8028443
-72.81594,26.02663,1377778907,102.8275844,718.0316843,200.282584,595.1271344
-42.93553,-35.60515,1505639497,99.27522395,710.4760541,202.2856083,600.2660997
79.42945,-74.79561,1263721818,100.6997152,699.7407473,194.9988812,601.1234008
73.23979,-95.08165,1508140448,100.9174285,707.3783264,199.030635,600.7034229
-10.81798,48.85394,1274134643,98.75242457,704.1835616,199.1329199,594.1366841
-6.25753,-38.3943,1505594983,99.13163122,687.7954534,206.1410506,592.8369339
79.18103,-159.71522,1281085156,100.6564967,716.7935642,197.403745,594.2555791
-41.61095,-138.73918,1361142163,100.6484418,703.9213435,205.0752204,604.8857088
58.49536,129.18325,1277214533,100.8384637,690.6961631,200.2252193,593.9519329
82.89539,-80.32506,1490437266,97.74670448,687.7392016,196.9585704,597.0268126
16.92755,-11.04561,1285537012,100.3960932,704.6549509,195.6500975,599.6037473
52.16403,19.51392,1504812230,99.99740546,706.2998261,201.0818077,595.3935196
-18.18033,-120.4462,1350369466,98.83061082,679.3464001,197.8714884,596.9414167
-24.48718,146.81351,1334697952,100.1084801,720.4791799,198.3815401,595.9936839
14.5841,119.60407,1302045982,102.3032004,704.4805855,202.0814449,597.8315592
-1.26007,-4.04537,1332921686,99.16666878,682.6237514,202.7625861,600.4444587
-70.73353,104.3468,1376906340,98.12324957,687.7786186,198.4791163,604.7830179
-18.55776,69.72032,1383216868,100.3979082,711.1411419,204.2125455,599.4040073
55.44133,-17.12053,1485321262,100.3252138,686.7441303,195.254195,606.5650103
5.63601,-19.70014,1477298848,101.6204034,702.685951,198.2329286,604.1292416
-63.85769,-54.86721,1387011638,100.9092574,700.7661836,204.4153627,595.8261133
-80.10987,44.35908,1346368813,101.2694927,693.8341916,200.7537228,605.7042398
-72.09276,8.12253,1429771730,97.67797648,714.0919553,205.1156443,613.6563169
61.73139,14.70504,1263117378,98.971736,682.8248061,205.212889,595.6186529
54.03591,3.67338,1380629817,101.7120342,704.9722247,201.1703326,605.436089
-53.85683,84.04029,1361537654,99.877733,706.4605106,209.9264822,586.1206865
28.23849,117.91943,1397031432,100.0445759,701.5143661,204.4126203,609.7725919
57.23711,11.03639,1289216153,98.97314084,689.3359131,205.5290775,593.9196698
